variable_name,table_name,variable_type,unit,allowed_min,allowed_max,allowed_values,description
confidence_id,confidence_indicators,text,,,,,"Evidence quality, uncertainty and sampling confidence; field confidence_id"
site_id,confidence_indicators,text,,,,,"Evidence quality, uncertainty and sampling confidence; field site_id"
indicator_name,confidence_indicators,text,,,,,"Evidence quality, uncertainty and sampling confidence; field indicator_name"
indicator_value,confidence_indicators,numeric,,,,,"Evidence quality, uncertainty and sampling confidence; field indicator_value"
indicator_unit,confidence_indicators,text,,,,,"Evidence quality, uncertainty and sampling confidence; field indicator_unit"
direction,confidence_indicators,text,,,,,"Evidence quality, uncertainty and sampling confidence; field direction"
reliability_weight,confidence_indicators,numeric,,,,,"Evidence quality, uncertainty and sampling confidence; field reliability_weight"
notes,confidence_indicators,text,,,,,"Evidence quality, uncertainty and sampling confidence; field notes"
rule_id,leakage_rules,text,,,,,Rules that prevent circular reasoning and invalid predictors; field rule_id
variable_name,leakage_rules,text,,,,,Rules that prevent circular reasoning and invalid predictors; field variable_name
rule_type,leakage_rules,text,,,,,Rules that prevent circular reasoning and invalid predictors; field rule_type
reason,leakage_rules,text,,,,,Rules that prevent circular reasoning and invalid predictors; field reason
forbidden_for_module,leakage_rules,text,,,,,Rules that prevent circular reasoning and invalid predictors; field forbidden_for_module
available_after_outcome,leakage_rules,text,,,,,Rules that prevent circular reasoning and invalid predictors; field available_after_outcome
notes,leakage_rules,text,,,,,Rules that prevent circular reasoning and invalid predictors; field notes
weight_id,stakeholder_weights,text,,,,,Criterion weights for final neutrosophic ranking; must sum to 1; field weight_id
criterion,stakeholder_weights,text,,,,,Criterion weights for final neutrosophic ranking; must sum to 1; field criterion
weight,stakeholder_weights,numeric,,,,,Criterion weights for final neutrosophic ranking; must sum to 1; field weight
weight_source,stakeholder_weights,text,,,,,Criterion weights for final neutrosophic ranking; must sum to 1; field weight_source
stakeholder_group,stakeholder_weights,text,,,,,Criterion weights for final neutrosophic ranking; must sum to 1; field stakeholder_group
notes,stakeholder_weights,text,,,,,Criterion weights for final neutrosophic ranking; must sum to 1; field notes
label_id,validation_labels,text,,,,,Independent labels for validation only; do not use as predictors; field label_id
site_id,validation_labels,text,,,,,Independent labels for validation only; do not use as predictors; field site_id
label_name,validation_labels,text,,,,,Independent labels for validation only; do not use as predictors; field label_name
label_value,validation_labels,text,,,,,Independent labels for validation only; do not use as predictors; field label_value
label_date,validation_labels,date,,,,,Independent labels for validation only; do not use as predictors; field label_date
label_source,validation_labels,text,,,,,Independent labels for validation only; do not use as predictors; field label_source
independent_of_features,validation_labels,text,,,,,Independent labels for validation only; do not use as predictors; field independent_of_features
notes,validation_labels,text,,,,,Independent labels for validation only; do not use as predictors; field notes
constraint_id,dsmt_constraints,text,,,,,Hybrid DSmT constraints; only needed when dsmt_model = hybrid; field constraint_id
expression,dsmt_constraints,text,,,,,Hybrid DSmT constraints; only needed when dsmt_model = hybrid; field expression
constraint_type,dsmt_constraints,text,,,,,Hybrid DSmT constraints; only needed when dsmt_model = hybrid; field constraint_type
reason,dsmt_constraints,text,,,,,Hybrid DSmT constraints; only needed when dsmt_model = hybrid; field reason
active,dsmt_constraints,text,,,,,Hybrid DSmT constraints; only needed when dsmt_model = hybrid; field active
notes,dsmt_constraints,text,,,,,Hybrid DSmT constraints; only needed when dsmt_model = hybrid; field notes
field_name,allowed_values,text,,,,,Controlled vocabulary values; field field_name
allowed_value,allowed_values,text,,,,,Controlled vocabulary values; field allowed_value
description,allowed_values,text,,,,,Controlled vocabulary values; field description
